ID,GROUP,CC,EMBEDDING_POS,VELOCITY_VECTOR,FINE_PCA,COARSE_PCA
from 10.0 to 20.0 100.0
NumNodes: 210
0,1,0,464.59717 3.4289374,3.79888916015625 0.18556833267211914,0.39397439864728667,2.1707461356482245
1,1,0,471.29944 4.4833355,5.69793701171875 0.0049991607666015625,0.40662662781503517,3.8626826616712675
2,1,0,473.85513 18.452951,5.042205810546875 0.03721046447753906,0.4168928777513199,3.3146134420066033
3,1,0,441.5054 18.522749,4.70916748046875 -0.6097412109375,0.43427643805600197,3.0161841685154016
4,1,0,438.59354 30.221098,4.127593994140625 0.8275489807128906,0.4047183876743349,2.4949491566803728
5,1,0,420.8621 26.370953,5.268310546875 0.2272968292236328,0.45641506474700017,3.529206406636688
6,1,0,415.1205 8.77459,4.37060546875 -0.15658187866210938,0.45224529757251986,2.719856141045773
7,1,0,447.04642 19.939472,4.6368408203125 -0.04025077819824219,0.43002517534000456,2.970263601150477
8,1,0,411.53323 5.8204103,6.109588623046875 -0.7154788970947266,0.46088007192597547,4.265837274197782
9,1,0,448.2824 1.249407,5.895660400390625 -0.621873140335083,0.40836288264809245,4.04730257885285
10,1,0,381.58246 13.182834,5.360809326171875 -0.03263664245605469,0.2834654529529501,3.549074086773627
11,1,0,448.7364 21.833193,4.944000244140625 0.2990550994873047,0.4272344884082646,3.2266543092155233
12,1,0,434.00644 8.372667,3.506103515625 0.13188457489013672,0.42396959203041384,1.9297855899021956
13,1,0,409.8625 26.25663,5.179168701171875 0.14591598510742188,0.45212090052403,3.4420478574347837
14,1,0,400.39612 21.422537,5.771331787109375 0.9521999359130859,0.43881656258024665,3.937605361224894
15,1,0,481.0167 21.245384,6.195526123046875 0.04929161071777344,0.4179885439241854,4.343830587870701
16,1,0,451.43915 28.242592,6.918792724609375 -0.15487289428710938,0.4332011396078225,4.965621559939673
17,1,0,469.51477 14.955616,4.172210693359375 0.40606689453125,0.41379425959594474,2.5306950024751607
18,1,0,454.97586 22.58711,6.50115966796875 -0.4968585968017578,0.4450343886376898,4.632673623205754
19,1,0,473.96652 1.6757889,3.455108642578125 -0.02023780345916748,0.36725656806016216,1.8338221436756657
20,1,0,405.96268 19.86903,5.727813720703125 0.3040122985839844,0.4606167196017429,3.9249571883171464
21,1,0,418.64484 14.538782,7.168426513671875 -0.0050029754638671875,0.48564970526678536,5.2253344899145855
22,1,0,409.61072 12.481691,4.82470703125 0.6285181045532227,0.4533528716102677,3.1175467983646916
23,1,0,404.52036 1.3250372,4.9779052734375 -0.3336794376373291,0.41944087651551115,3.209026445940952
24,1,0,423.7968 9.636728,4.698333740234375 -0.4185514450073242,0.4519796129776455,3.008909683198762
25,1,0,412.98468 27.62418,4.785003662109375 0.06488037109375,0.4484314668296876,3.096440085090573
26,1,0,430.159 2.8768961,5.87335205078125 0.8975814580917358,0.43794049747057145,4.009051252625669
27,1,0,458.96967 10.09574,6.293792724609375 -0.5377473831176758,0.43891035552072394,4.431051122981807
28,1,0,463.21103 22.326511,4.155670166015625 -0.2166004180908203,0.42065342939828837,2.536915309002443
29,1,0,433.20395 13.535027,5.042633056640625 1.1108283996582031,0.4504865362271667,3.3155337016652937
30,1,0,440.44647 22.378244,5.41510009765625 -0.4173412322998047,0.4383973733310386,3.6533289393357387
31,1,0,419.17285 26.50913,4.45623779296875 -0.09176445007324219,0.4510141143468525,2.808671172378826
32,1,0,466.9623 20.598806,5.56231689453125 -0.07348823547363281,0.432203570415676,3.7886541118380412
33,1,0,478.43604 18.49952,6.862060546875 -0.2169952392578125,0.42887398003628024,4.9326162618530915
34,1,0,457.90607 14.556223,6.0068359375 1.099334716796875,0.43710660470132734,4.167201014964441
35,1,0,474.86118 23.396809,5.033477783203125 -0.6683082580566406,0.40832253976636995,3.308848062174794
36,1,0,472.3049 10.511086,5.428131103515625 0.6324367523193359,0.4230460529582481,3.6566065657625666
37,1,0,381.6744 28.123354,5.73236083984375 -0.11380195617675781,0.30760641146295215,3.879196179099484
38,1,0,420.53275 20.915403,4.748138427734375 -0.0464324951171875,0.46240215856426403,3.0667729787872213
39,1,0,423.29886 13.338653,5.208526611328125 -0.1271533966064453,0.46276729094551583,3.4692559552893156
40,1,0,406.4674 28.905394,3.886016845703125 0.6940326690673828,0.42686907029270255,2.2689568368375777
41,1,0,475.8837 1.6473149,5.23193359375 -0.6043754816055298,0.3830916173426681,3.4155676124809786
42,1,0,453.8565 23.325018,3.526092529296875 0.7289505004882812,0.41707367312135263,1.9678878289361237
43,1,0,448.0246 12.680331,5.904571533203125 -0.6976299285888672,0.4383544639999174,4.0792583546100225
44,1,0,434.6967 27.225195,6.87982177734375 0.44317626953125,0.46037398545457103,4.953316585971266
45,1,0,385.745 26.791801,5.89825439453125 0.6551151275634766,0.3090003528358223,4.02295495152764
46,1,0,404.4067 7.6809597,3.9664306640625 0.7326478958129883,0.4349835088111662,2.35253403662848
47,1,0,412.7898 11.523911,5.22900390625 -0.6377182006835938,0.4592363682328407,3.487640155259472
