ID,GROUP,CC,EMBEDDING_POS,VELOCITY_VECTOR,FINE_PCA,COARSE_PCA
from 5.0 to 10.0 100.0
NumNodes: 240
0,1,0,567.1472 1381.7058,155.03289794921875 544.4806518554688,78.72401951953266,78.72401951953266
1,1,0,550.70935 1165.9757,202.63241577148438 519.9962158203125,76.17169424646539,76.17169424646539
2,1,0,1759.3204 1829.2493,423.3270263671875 337.238525390625,72.63992889507126,72.63992889507126
3,1,0,494.77386 1304.2334,177.78799438476562 521.2137451171875,76.28917038985855,76.28917038985855
4,1,0,876.3869 1483.0184,185.4947509765625 578.734619140625,84.96008713906429,84.96008713906429
5,1,0,1697.7747 1942.436,504.047119140625 409.736083984375,80.25131085231021,80.25131085231021
6,1,0,1449.89 1872.1392,372.734130859375 534.7001953125,79.37967066397795,79.37967066397795
7,1,0,1054.6548 1418.6871,179.4912109375 619.9854736328125,83.51927484862017,83.51927484862017
8,1,0,481.63818 1089.1012,176.01547241210938 494.28515625,69.83637978698415,69.83637978698415
9,1,0,442.87448 1129.0233,154.98687744140625 524.5857543945312,71.77571103021316,71.77571103021316
10,1,0,1668.0093 1877.2649,426.808837890625 396.829345703125,78.8731889873218,78.8731889873218
11,1,0,459.4207 1108.7787,210.16644287109375 497.599609375,71.00604788113812,71.00604788113812
12,1,0,384.01413 1299.6132,141.7108612060547 493.1995849609375,67.47018210400675,67.47018210400675
13,1,0,1095.4031 1509.4102,189.163330078125 617.4357299804688,86.85446893934629,86.85446893934629
14,1,0,634.37213 1368.3987,172.13168334960938 548.03076171875,81.11196216065665,81.11196216065665
15,1,0,1574.3834 2055.19,574.4782104492188 574.0758056640625,77.49498571882066,77.49498571882066
16,1,0,1225.7954 1698.4288,288.29974365234375 612.767578125,79.79691019417439,79.79691019417439
17,1,0,521.0119 1206.2567,208.84564208984375 526.81201171875,77.06929205601263,77.06929205601263
18,1,0,723.7915 1234.3785,199.926513671875 574.0411376953125,81.1389722521242,81.1389722521242
19,1,0,453.4682 1224.8784,201.99591064453125 510.9193115234375,74.92261088539514,74.92261088539514
20,1,0,861.0496 1355.925,178.248779296875 599.8268432617188,86.40420135540055,86.40420135540055
21,1,0,1740.4606 2035.2952,604.793701171875 423.64892578125,78.41680695927786,78.41680695927786
22,1,0,576.8774 1359.4097,189.36642456054688 531.3922729492188,79.05108929311831,79.05108929311831
23,1,0,480.92435 1170.6786,180.79156494140625 512.2115478515625,75.14050613483347,75.14050613483347
24,1,0,791.3032 1421.0885,170.52716064453125 572.047119140625,84.70767372565602,84.70767372565602
25,1,0,747.73376 1307.3936,190.57696533203125 578.931396484375,84.89319532020407,84.89319532020407
26,1,0,724.5542 1364.0293,185.3953857421875 568.6456298828125,84.30659306141185,84.30659306141185
27,1,0,1252.0415 1672.914,249.14166259765625 595.8116455078125,80.73277181202062,80.73277181202062
28,1,0,792.792 1475.0845,156.00177001953125 564.0196533203125,80.6936942582227,80.6936942582227
29,1,0,1594.178 1951.9094,473.200439453125 485.4718017578125,81.68615737121289,81.68615737121289
30,1,0,819.9933 1338.1326,190.78790283203125 601.1902465820312,86.17222405698254,86.17222405698254
31,1,0,1718.2202 2054.338,614.834228515625 452.03271484375,78.4707539004468,78.4707539004468
32,1,0,1563.9647 1734.8164,248.1126708984375 406.726806640625,72.51410017241801,72.51410017241801
33,1,0,1668.5686 2072.4258,613.8306884765625 499.5230712890625,78.86158963717692,78.86158963717692
